,experts,iterations,labs,validation,f1_scores
0,feedbackC,1,labF,False,0.7644787644787645
1,feedbackC,1,labF,True,0.7962085308056872
2,feedbackC,2,labF,False,0.8222222222222222
3,feedbackC,2,labF,True,0.7887323943661971
4,feedbackC,3,labF,False,0.7984496124031008
5,feedbackC,3,labF,True,0.8235294117647058
6,feedbackC,4,labF,False,0.8108108108108107
7,feedbackC,4,labF,True,0.8142857142857144
8,feedbackC,5,labF,False,0.7728813559322034
9,feedbackC,5,labF,True,0.8066825775656324
10,feedbackC,6,labF,False,0.8225806451612903
11,feedbackC,6,labF,True,0.8153477218225421
12,feedbackC,7,labF,False,0.8273092369477911
13,feedbackC,7,labF,True,0.7980997624703088
14,feedbackC,8,labF,False,0.8150943396226414
15,feedbackC,8,labF,True,0.7817745803357316
16,feedbackM,7,labF,True,0.8380952380952381
17,feedbackM,1,labF,False,0.7819548872180452
18,feedbackM,1,labF,True,0.8076923076923077
19,feedbackM,2,labF,False,0.8571428571428571
20,feedbackM,2,labF,True,0.8095238095238095
21,feedbackM,3,labF,False,0.8212927756653993
22,feedbackM,3,labF,True,0.8285714285714286
23,feedbackM,4,labF,False,0.8
24,feedbackM,4,labF,True,0.8218527315914489
25,feedbackM,5,labF,False,0.8013029315960912
26,feedbackM,5,labF,True,0.8297362110311751
27,feedbackM,6,labF,False,0.7857142857142857
28,feedbackM,6,labF,True,0.8162291169451074
29,feedbackM,7,labF,False,0.7490636704119851
30,feedbackM,8,labF,False,0.8297872340425533
31,feedbackM,8,labF,True,0.8309178743961353
32,feedbackC,1,labS,False,0.7644787644787645
33,feedbackC,1,labS,True,0.8243902439024392
34,feedbackC,2,labS,False,0.8326848249027237
35,feedbackC,2,labS,True,0.8038740920096852
36,feedbackC,3,labS,False,0.7862595419847327
37,feedbackC,3,labS,True,0.8398058252427185
38,feedbackC,4,labS,False,0.8449612403100776
39,feedbackC,4,labS,True,0.8195121951219513
40,feedbackC,5,labS,False,0.7959183673469387
41,feedbackC,5,labS,True,0.8019559902200488
42,feedbackC,6,labS,False,0.7808764940239044
43,feedbackC,6,labS,True,0.8068459657701712
44,feedbackC,7,labS,False,0.7829457364341086
45,feedbackC,7,labS,True,0.8148148148148149
46,feedbackC,8,labS,False,0.7832699619771863
47,feedbackC,8,labS,True,0.8350000000000001
48,feedbackM,1,labS,False,0.7819548872180452
49,feedbackM,1,labS,True,0.8049382716049382
50,feedbackM,2,labS,False,0.806083650190114
51,feedbackM,2,labS,True,0.8125
52,feedbackM,3,labS,False,0.8
53,feedbackM,3,labS,True,0.8192771084337349
54,feedbackM,4,labS,False,0.8030888030888031
55,feedbackM,4,labS,True,0.8105515587529976
56,feedbackM,5,labS,False,0.8126984126984126
57,feedbackM,5,labS,True,0.8048192771084338
58,feedbackM,6,labS,False,0.8110236220472441
59,feedbackM,6,labS,True,0.7970660146699265
60,feedbackM,7,labS,False,0.744360902255639
61,feedbackM,7,labS,True,0.7980535279805353
62,feedbackM,8,labS,False,0.8098591549295774
63,feedbackM,8,labS,True,0.8252427184466019
64,feedbackC,1,labT,False,0.7644787644787645
65,feedbackC,1,labT,True,0.7499999999999999
66,feedbackC,2,labT,False,0.8122605363984674
67,feedbackC,2,labT,True,0.7421686746987953
68,feedbackC,3,labT,False,0.7936507936507936
69,feedbackC,3,labT,True,0.7602905569007264
70,feedbackC,4,labT,False,0.8267716535433071
71,feedbackC,4,labT,True,0.7729468599033817
72,feedbackC,5,labT,False,0.8263888888888888
73,feedbackC,5,labT,True,0.7740384615384616
74,feedbackC,6,labT,False,0.814516129032258
75,feedbackC,6,labT,True,0.7769784172661871
76,feedbackC,7,labT,False,0.823076923076923
77,feedbackC,7,labT,True,0.7681159420289856
78,feedbackC,8,labT,False,0.803088803088803
79,feedbackC,8,labT,True,0.7669902912621359
80,feedbackM,1,labT,False,0.7819548872180452
81,feedbackM,1,labT,True,0.7577937649880097
82,feedbackM,2,labT,False,0.8164794007490637
83,feedbackM,2,labT,True,0.7614457831325302
84,feedbackM,3,labT,False,0.7892720306513409
85,feedbackM,3,labT,True,0.7584541062801934
86,feedbackM,4,labT,False,0.8326848249027237
87,feedbackM,4,labT,True,0.7630331753554502
88,feedbackM,5,labT,False,0.8
89,feedbackM,5,labT,True,0.7699757869249394
90,feedbackM,6,labT,False,0.8093385214007782
91,feedbackM,6,labT,True,0.7836538461538461
92,feedbackM,7,labT,False,0.7575757575757576
93,feedbackM,7,labT,True,0.782816229116945
94,feedbackM,8,labT,False,0.8197879858657244
95,feedbackM,8,labT,True,0.7857142857142857
96,feedbackC,1,lab0,False,0.7644787644787645
97,feedbackC,1,lab0,True,0.781094527363184
98,feedbackC,2,lab0,False,0.8217054263565892
99,feedbackC,2,lab0,True,0.786967418546366
100,feedbackC,3,lab0,False,0.7851851851851852
101,feedbackC,3,lab0,True,0.7735368956743002
102,feedbackC,4,lab0,False,0.7954545454545454
103,feedbackC,4,lab0,True,0.80306905370844
104,feedbackC,5,lab0,False,0.8027210884353742
105,feedbackC,5,lab0,True,0.8020050125313284
106,feedbackC,6,lab0,False,0.8076923076923076
107,feedbackC,6,lab0,True,0.7989821882951654
108,feedbackC,7,lab0,False,0.7953667953667953
109,feedbackC,7,lab0,True,0.7715736040609137
110,feedbackC,8,lab0,False,0.7761194029850746
111,feedbackC,8,lab0,True,0.7989556135770236
112,feedbackM,1,lab0,False,0.7819548872180452
113,feedbackM,1,lab0,True,0.786967418546366
114,feedbackM,2,lab0,False,0.8226415094339623
115,feedbackM,2,lab0,True,0.7849999999999999
116,feedbackM,3,lab0,False,0.8283582089552239
117,feedbackM,3,lab0,True,0.795969773299748
118,feedbackM,4,lab0,False,0.7910447761194029
119,feedbackM,4,lab0,True,0.803030303030303
120,feedbackM,5,lab0,False,0.8065573770491804
121,feedbackM,5,lab0,True,0.806045340050378
122,feedbackM,6,lab0,False,0.8106060606060607
